sg_entidade_ensino,cd_programa_ies,nm_programa_ies,ano_base_referencia_nome
INPE,33010013002P1,COMPUTAÇÃO APLICADA,2024
INPE,33010013003P8,METEOROLOGIA,2024
INPE,33010013005P0,SENSORIAMENTO REMOTO,2024
INPE,33010013008P0,GEOFÍSICA ESPACIAL,2024
INPE,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,2024
INPE,33010013010P4,ASTROFÍSICA,2024
INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,2024
