id_add_producao_intelectual,an_base,sg_entidade_ensino,cd_programa_ies,nm_programa_ies,qtd_autores_total,qtd_tp_autor_sem_informacao,qtd_tp_autor_discente,qtd_tp_autor_docente,qtd_tp_autor_egresso,qtd_tp_autor_participante_externo,qtd_tp_autor_participante_x0020_externo,qtd_tp_autor_pos_doc,qtd_tp_autor_x002d
19254474,2013,INPE,33010013008P0,GEOFÍSICA ESPACIAL,9,3,0,6,0,0,0,0,0
19254477,2013,INPE,33010013008P0,GEOFÍSICA ESPACIAL,1,0,0,1,0,0,0,0,0
19254488,2013,INPE,33010013008P0,GEOFÍSICA ESPACIAL,1,0,0,1,0,0,0,0,0
19254595,2013,INPE,33010013008P0,GEOFÍSICA ESPACIAL,6,2,0,3,0,1,0,0,0
19254598,2013,INPE,33010013008P0,GEOFÍSICA ESPACIAL,6,3,1,1,0,1,0,0,0
19254605,2013,INPE,33010013008P0,GEOFÍSICA ESPACIAL,5,2,1,1,0,1,0,0,0
19254607,2013,INPE,33010013008P0,GEOFÍSICA ESPACIAL,10,6,0,3,0,1,0,0,0
19254633,2013,INPE,33010013008P0,GEOFÍSICA ESPACIAL,4,0,3,1,0,0,0,0,0
19254652,2013,INPE,33010013008P0,GEOFÍSICA ESPACIAL,1,0,0,1,0,0,0,0,0
19254655,2013,INPE,33010013008P0,GEOFÍSICA ESPACIAL,4,1,1,2,0,0,0,0,0
19254662,2013,INPE,33010013008P0,GEOFÍSICA ESPACIAL,2,1,0,1,0,0,0,0,0
19254665,2013,INPE,33010013008P0,GEOFÍSICA ESPACIAL,1,0,0,1,0,0,0,0,0
19254666,2013,INPE,33010013008P0,GEOFÍSICA ESPACIAL,3,0,1,1,0,1,0,0,0
19254670,2013,INPE,33010013008P0,GEOFÍSICA ESPACIAL,6,1,3,2,0,0,0,0,0
19254696,2013,INPE,33010013008P0,GEOFÍSICA ESPACIAL,2,0,1,1,0,0,0,0,0
19254707,2013,INPE,33010013008P0,GEOFÍSICA ESPACIAL,1,0,0,1,0,0,0,0,0
19254710,2013,INPE,33010013008P0,GEOFÍSICA ESPACIAL,9,3,0,6,0,0,0,0,0
19254733,2013,INPE,33010013008P0,GEOFÍSICA ESPACIAL,5,0,2,2,0,1,0,0,0
19254740,2013,INPE,33010013008P0,GEOFÍSICA ESPACIAL,1,0,0,1,0,0,0,0,0
19254746,2013,INPE,33010013008P0,GEOFÍSICA ESPACIAL,6,1,1,2,0,2,0,0,0
19254749,2013,INPE,33010013008P0,GEOFÍSICA ESPACIAL,9,1,3,1,0,4,0,0,0
19254768,2013,INPE,33010013008P0,GEOFÍSICA ESPACIAL,4,0,0,3,0,1,0,0,0
19254797,2013,INPE,33010013008P0,GEOFÍSICA ESPACIAL,2,0,1,1,0,0,0,0,0
19254798,2013,INPE,33010013008P0,GEOFÍSICA ESPACIAL,6,1,2,3,0,0,0,0,0
19254810,2013,INPE,33010013008P0,GEOFÍSICA ESPACIAL,6,3,2,1,0,0,0,0,0
19835152,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19835155,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19835158,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,2,0,0,2,0,0,0,0,0
19835161,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,3,1,0,2,0,0,0,0,0
19835165,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19835168,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,2,0,1,1,0,0,0,0,0
19835170,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,5,2,0,2,0,1,0,0,0
19835212,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
