sigla_mat,nome_mat,first_period,last_period,title_variants,rows_for_canonical_title
CAP413,Campos Aleat. Markov em Processamento de Imagens,199300,199300,1,1
CAP417,Estatística Computacional,202101,202601,1,6
CAP418,Métodos Numéricos I,202101,202601,1,6
CAP419,Introdução à Programação com Dados Geoespaciais,202101,202601,1,6
CAP420,Métodos Numéricos II,202102,202502,1,5
CAP421,Aprendizado Profundo,202103,202503,1,6
CAP422,Física Matemática Computacional,202103,202503,1,4
CAP423,Ciência de Dados Geoespaciais,202103,202503,1,5
CAP424,Lógica Nebulosa,202103,202503,1,4
CAP425,Tópicos Avançados em Modelagem Ambiental,202103,202503,1,5
CAP452,Tópicos Especiais em Engenharia de Software,198602,198702,1,2
CAP453,Tópicos Especiais na Teoria da Computação,198401,198401,1,1
CAP455,Tóp. Espec. em Proc. e Rec. de Imagens,198501,198702,2,3
CAP456,Tópicos em Representação de Conhecimento,198403,199401,1,3
CAP457,Tópicos Especiais em Inteligência Artificial,198503,198701,2,2
CAP458,Caracterização de Padrões em Sistemas Complexos,199903,199903,1,1
CAP459,Tópicos Avançados de Processamento de Alto Desempenho,199903,200003,1,2
CAP460,Ótica Computacional,199903,202403,3,22
CAP465,Modelagem e Simulação de Sistemas Terrestres,201802,202502,1,7
CAP466,Modelagem e Simulação de Sistemas Terrestres,202302,202302,1,1
CAP469,Tópicos Avançados de Processamento de Alto Desempenho,200103,200503,1,5
CAP501,Seminários em Computação Aplicada I,199701,202601,7,76
CAP502,Seminários em Computação Aplicada II,199602,202601,7,81
CAP503,Seminários em Computação Científica I,199502,199502,1,1
CAP504,Seminários em Computação Científica II,199503,199503,1,1
CAP511,Extensão em Computação Aplicada e Tecnologias Digitais I,202601,202601,1,1
CAP592,Tópicos em Sistema de Tempo Real,198601,198601,1,1
CAP598,"Tópicos em Simulação Digital, Analógico e Híbrida",197403,197403,1,1
CAP730,Pesquisa de Mestrado em Computação Aplicada,200001,202601,2,76
CAP750,Dissertação de Mestrado,198903,202603,1,101
CAP780,Pesquisa de Doutorado em Computação Aplicada,200001,202601,3,75
CAP800,Tese de Doutorado,199001,202503,1,91
